餐廳名稱,類型,地區或地址,推薦重點,推薦人,Threads留言URL,來源貼文URL,原留言摘錄
26am 餐酒館,義式／日式／餐酒館,台北市中山區市民大道三段159號,店家自薦,26a.mrestaurant,https://www.threads.com/@26a.mrestaurant/post/Da-0ouvE-f4,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,26a.mrestaurant 1天 您好，我們是 26am。 把義式跟日式料理放在同一張桌上， 不用多想，也能找到想吃的。 空間留一點距離， 節奏慢一點， 讓來到這裡的時間， 剛剛好可以放鬆。 即使只是一個人剛好想找個地方坐一下，我們也會在。 期待與您見面！ 地址是：台北市中山區市民大道三段159號 Google收尋：26am餐酒館
7-ELEVEN i珍食,超商即食,,適合一個人吃，CP值高,10_10roy3345678,https://www.threads.com/@10_10roy3345678/post/Da-uhGyGm19,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,10_10roy3345678 1天 7-11的i 珍食，適合一個人吃，CP值超高
一品蔬菜羊肉爐,羊肉爐,,最近愛上,hnywg,https://www.threads.com/@hnywg/post/DbBDF-_k_ib,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,hnywg 18小時 從小吃到大的：台北市圍爐酸菜白肉火鍋、夫妻肺片麻辣鍋、橋頭麻辣鍋、七輪燒肉 最近愛上的一品蔬菜羊肉爐、麻皇麻辣火鍋、AJIMI、鰭狄日式阪前、萬豪欣葉鍾菜（比一般欣葉好吃） 南港中信享鮮餐廳的海鮮（肉類普遍不行）
七品河粉美食,越南料理,台北市中山區農安街251-1號,推薦乾拌米線、生牛肉河粉、五花控肉飯,13.yunnn,https://www.threads.com/@13.yunnn/post/DbAzI9uEUgC,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,13.yunnn 21小時 🍋‍🟩七品河粉美食 📍 104臺北市中山區行政里農安街251-1號 吃過：乾拌米線、生牛肉河粉、五花控肉飯 我已經吃了一個禮拜…. 店內居然有三台冷氣兩台電扇！ 而且抽風系統好像不錯，吃完都沒有餐廳味 座位偏少，這真是我這一年來吃過最舒適又好吃的越氏
七輪燒肉,燒肉,台北市,從小吃到大,hnywg,https://www.threads.com/@hnywg/post/DbBDF-_k_ib,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,hnywg 18小時 從小吃到大的：台北市圍爐酸菜白肉火鍋、夫妻肺片麻辣鍋、橋頭麻辣鍋、七輪燒肉 最近愛上的一品蔬菜羊肉爐、麻皇麻辣火鍋、AJIMI、鰭狄日式阪前、萬豪欣葉鍾菜（比一般欣葉好吃） 南港中信享鮮餐廳的海鮮（肉類普遍不行）
人間半醒,江浙菜,,,y__o6o4,https://www.threads.com/@y__o6o4/post/DbCUTpgASeC,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,y__o6o4 6小時 川菜：老位川酒 江浙菜：人間半醒 湘菜：湘八老 上海菜：葉公館 火鍋：蔣老爹愛吃鍋 義大利麵：李氏、章邖 居酒屋：東京系列（東京煙火氣、東京酒食製作所…） 燒肉：阿叔燒肉 中菜：招治飯店 韓式：李上
八方雲集,鍋貼／水餃,,,rpgtaiwan,https://www.threads.com/@rpgtaiwan/post/DbCWr6Ykrip,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,rpgtaiwan 6小時 八方雲集
八和燒肉,燒肉,,,andychang604,https://www.threads.com/@andychang604/post/DbAqv6jidxM,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,andychang604 22小時 八和燒肉、橋頭火鍋
八條老宅麻辣鍋,麻辣鍋,台北市中山區林森北路133巷3號,老宅巷弄；麻辣湯頭、鴨血豆腐,selena210210,https://www.threads.com/@selena210210/post/Da_0MSoAZti,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,"selena210210 1天 maps.app.goo.gl/MmEt5… 隱身林森北路巷弄的八條老宅麻辣鍋🍲「麻、辣、鮮、香」道地的麻辣湯頭✨ 鴨血跟豆腐軟嫩入味😍 google.com 八條老宅麻辣鍋 · No. 3, Lane 133, Linsen N Rd, Zhengyi Village, Zhongshan District, Taipei City, Taiwan 104"
三味麵食,麵食,,推薦雙醬麵,atm_tseng,https://www.threads.com/@atm_tseng/post/DbARPAmFGvF,https://www.threads.com/@harriet0308/post/Da-TmgNkXOM,atm_tseng 1天 漢來湯包 FOCOSO（非常適合約會的義大利餐廳） 三味麵食（一定要吃雙醬麵） 心潮仙宮（外國朋友來都帶去吃） Wok by Obond (大中華料理Fine Dining)
